desc,file_id_full,file_id_thumb,medium,title,year
"After the Rain
Claude Oscar Monet  (1868)Private collectionDrawing - pastelUploaded Tuesday, 14 February 2012 by member rocsdadPublic domain",154481,154480,pastel,After the Rain,1868
"Agapanathus
Claude Oscar Monet  (1914-1926)Museum of Modern Art - New YorkPainting - oil on canvasUploaded Thursday, 23 January 2003 by member rocsdadPublic domain",571312,571311,oil,Agapanathus,1914-1926
"Agapanthus
Claude Oscar Monet  (1914-1917)MusÃ©e Marmottan MonetPainting - oil on canvasUploaded Thursday, 23 January 2003 by member rocsdadPublic domain",7956,7955,oil,Agapanthus,1914-1917
"Agapanthus (right panel)
Claude Oscar Monet  (1920-1926)Nelson-Atkins Museum of Art - Kansas CityPainting - tempera on panelUploaded Saturday, 25 January 2003 by member rocsdadPublic domain",8172,8171,tempera,Agapanthus (right panel),1920-1926
"Alice Hoschede in the Garden
Claude Oscar Monet  (1881)Private collectionPainting - oil on canvasUploaded Tuesday, 14 January 2003 by member rocsdadPublic domain",6595,6594,oil,Alice Hoschede in the Garden,1881
"The Alps Seen from Cap d'Antibes
Claude Oscar Monet  (1888)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7110,7109,oil,The Alps Seen from Cap d'Antibes,1888
"Amsterdam
Claude Oscar Monet  (1874)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6263,6262,oil,Amsterdam,1874
"Amsterdam in the Snow
Claude Oscar Monet  (1874)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6257,6256,oil,Amsterdam in the Snow,1874
"Andre Lauvray
Claude Oscar Monet  (1880)Private collectionPainting - oil on canvasUploaded Monday, 13 January 2003 by member rocsdadPublic domain",6545,6544,oil,Andre Lauvray,1880
"Anemones and Tulips in a Blue Vase
Claude Oscar Monet  (1885)Private collectionPainting - oil on cardboardUploaded Thursday, 27 December 2012 by member rocsdadPublic domain",265529,265528,oil,Anemones and Tulips in a Blue Vase,1885
"Anglers on the Seine at Poissy
Claude Oscar Monet  (1882)Ãsterreichische Galerie Belvedere - ViennaPainting - oil on canvasUploaded Tuesday, 14 January 2003 by member rocsdadPublic domain",6671,6670,oil,Anglers on the Seine at Poissy,1882
"Antibes
Claude Oscar Monet  (1888)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7076,7075,oil,Antibes,1888
"Antibes, Afternoon Effect
Claude Oscar Monet  (1888)Museum of Fine Arts - BostonPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7074,7073,oil,"Antibes, Afternoon Effect",1888
"Antibes and the Maritime Alps
Claude Oscar Monet  (1888)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7082,7081,oil,Antibes and the Maritime Alps,1888
"Antibes in the Morning
Claude Oscar Monet  (1888)Philadelphia Museum of ArtPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7096,7095,oil,Antibes in the Morning,1888
"Antibes Seen from the Cape, Mistral Wind
Claude Oscar Monet  (1888)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7104,7103,oil,"Antibes Seen from the Cape, Mistral Wind",1888
"Antibes Seen from the Salis Gardens
Claude Oscar Monet  (1888)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7090,7089,oil,Antibes Seen from the Salis Gardens,1888
"Antibes Seen from the Salis Gardens
Claude Oscar Monet  (1888)Toledo Museum of Art (Ohio)Painting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7092,7091,oil,Antibes Seen from the Salis Gardens,1888
"Antibes - View of the Salis Gardens
Claude Oscar Monet  (1888)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7086,7085,oil,Antibes - View of the Salis Gardens,1888
"Apple Trees in Bloom at Giverny
Claude Oscar Monet  (1900-1901)Private collectionPainting - oil on canvasUploaded Tuesday, 21 January 2003 by member rocsdadPublic domain",7704,7703,oil,Apple Trees in Bloom at Giverny,1900-1901
"Apple Trees in Blossom by the Water
Claude Oscar Monet  (1880)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6517,6516,oil,Apple Trees in Blossom by the Water,1880
"Apple Trees near Vetheuil
Claude Oscar Monet  (1878)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6429,6428,oil,Apple Trees near Vetheuil,1878
"Apple Trees on the Chantemesle Hill
Claude Oscar Monet  (1878)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6431,6430,oil,Apple Trees on the Chantemesle Hill,1878
"Argenteuil, Flowers by the Riverbank
Claude Oscar Monet  (1877)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6403,6402,oil,"Argenteuil, Flowers by the Riverbank",1877
"Argenteuil, Late Afternoon
Claude Oscar Monet  (1872)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6169,6168,oil,"Argenteuil, Late Afternoon",1872
"Argenteuil Seen from the Small Arm of the Seine
Claude Oscar Monet  (1872)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6177,6176,oil,Argenteuil Seen from the Small Arm of the Seine,1872
"Argenteuil, Seen from the Small Arm of the Seine
Claude Oscar Monet  (1872)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6147,6146,oil,"Argenteuil, Seen from the Small Arm of the Seine",1872
"Argenteuil, the Hospice
Claude Oscar Monet  (1872)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6187,6186,oil,"Argenteuil, the Hospice",1872
"Arm of the Jeufosse, Autumn
Claude Oscar Monet  (1884)Private collectionPainting - oil on canvasUploaded Wednesday, 8 August 2012 by member rocsdadPublic domain",199233,199232,oil,"Arm of the Jeufosse, Autumn",1884
