,Unnamed: 0,Unnamed: 0.1,desc,file_id_full,file_id_thumb,medium,title,year,cluster_count
0,0,0,"After the RainClaude Oscar Monet  (1868)Private collectionDrawing - pastelUploaded Tuesday, 14 February 2012 by member rocsdadPublic domain",154481,154480,pastel,After the Rain,1868,"{(103, 72, 3): 6826, (97, 92, 86): 30275, (241, 213, 106): 5203, (155, 136, 110): 7991, (44, 25, 8): 5205}"
1,1,1,"AgapanathusClaude Oscar Monet  (1914-1926)Museum of Modern Art - New YorkPainting - oil on canvasUploaded Thursday, 23 January 2003 by member rocsdadPublic domain",571312,571311,oil,Agapanathus,1914-1926,"{(76, 84, 111): 16309, (105, 136, 172): 21005, (171, 169, 194): 7995, (116, 130, 113): 23020, (101, 92, 41): 13571}"
2,2,2,"AgapanthusClaude Oscar Monet  (1914-1917)MusÃƒÂ©e Marmottan MonetPainting - oil on canvasUploaded Thursday, 23 January 2003 by member rocsdadPublic domain",7956,7955,oil,Agapanthus,1914-1917,"{(143, 134, 160): 140594, (89, 83, 69): 65598, (31, 28, 22): 82525, (158, 132, 56): 107898, (204, 200, 199): 76393}"
3,3,3,"Agapanthus (right panel)Claude Oscar Monet  (1920-1926)Nelson-Atkins Museum of Art - Kansas CityPainting - tempera on panelUploaded Saturday, 25 January 2003 by member rocsdadPublic domain",8172,8171,tempera,Agapanthus (right panel),1920-1926,"{(135, 81, 105): 156979, (207, 158, 163): 34602, (143, 85, 37): 115783, (93, 49, 16): 97849, (155, 105, 150): 115657}"
4,4,4,"Alice Hoschede in the GardenClaude Oscar Monet  (1881)Private collectionPainting - oil on canvasUploaded Tuesday, 14 January 2003 by member rocsdadPublic domain",6595,6594,oil,Alice Hoschede in the Garden,1881,"{(128, 112, 93): 161950, (192, 171, 126): 115388, (96, 73, 36): 245081, (42, 25, 18): 238685, (177, 144, 31): 147316}"
5,5,5,"The Alps Seen from Cap d'AntibesClaude Oscar Monet  (1888)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7110,7109,oil,The Alps Seen from Cap d'Antibes,1888,"{(185, 130, 82): 107772, (66, 46, 31): 52460, (144, 143, 185): 154625, (201, 191, 205): 371728, (139, 94, 37): 118991}"
6,6,6,"AmsterdamClaude Oscar Monet  (1874)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6263,6262,oil,Amsterdam,1874,"{(134, 120, 107): 194707, (37, 24, 23): 106503, (92, 83, 78): 124363, (69, 57, 45): 142291, (149, 147, 135): 150344}"
7,7,7,"Amsterdam in the SnowClaude Oscar Monet  (1874)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6257,6256,oil,Amsterdam in the Snow,1874,"{(43, 22, 28): 91981, (168, 124, 98): 248074, (110, 78, 75): 123219, (219, 195, 183): 129700, (196, 155, 130): 300880}"
8,8,8,"Andre LauvrayClaude Oscar Monet  (1880)Private collectionPainting - oil on canvasUploaded Monday, 13 January 2003 by member rocsdadPublic domain",6545,6544,oil,Andre Lauvray,1880,"{(118, 105, 87): 180716, (80, 58, 39): 51936, (154, 147, 121): 207460, (197, 182, 140): 166031, (182, 137, 73): 58795}"
9,9,9,"Anemones and Tulips in a Blue VaseClaude Oscar Monet  (1885)Private collectionPainting - oil on cardboardUploaded Thursday, 27 December 2012 by member rocsdadPublic domain",265529,265528,oil,Anemones and Tulips in a Blue Vase,1885,"{(188, 177, 157): 2445, (83, 115, 142): 3100, (86, 138, 65): 10505, (224, 70, 49): 7421, (36, 76, 43): 11929}"
10,10,10,"Anglers on the Seine at PoissyClaude Oscar Monet  (1882)ÃƒÂ–sterreichische Galerie Belvedere - ViennaPainting - oil on canvasUploaded Tuesday, 14 January 2003 by member rocsdadPublic domain",6671,6670,oil,Anglers on the Seine at Poissy,1882,"{(112, 70, 7): 242484, (143, 89, 11): 183199, (178, 100, 6): 145098, (78, 52, 8): 124036, (33, 21, 8): 116478}"
11,11,11,"AntibesClaude Oscar Monet  (1888)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7076,7075,oil,Antibes,1888,"{(211, 196, 196): 348043, (214, 117, 69): 47967, (214, 178, 162): 201846, (172, 154, 169): 144258, (134, 85, 98): 35328}"
12,12,12,"Antibes, Afternoon EffectClaude Oscar Monet  (1888)Museum of Fine Arts - BostonPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7074,7073,oil,"Antibes, Afternoon Effect",1888,"{(28, 44, 78): 114332, (122, 133, 170): 293557, (183, 122, 78): 47778, (77, 86, 120): 151418, (163, 151, 158): 187323}"
13,13,13,"Antibes and the Maritime AlpsClaude Oscar Monet  (1888)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7082,7081,oil,Antibes and the Maritime Alps,1888,"{(176, 121, 50): 148560, (102, 46, 18): 36716, (150, 90, 32): 112781, (204, 155, 80): 93402, (193, 175, 136): 130141}"
14,14,14,"Antibes in the MorningClaude Oscar Monet  (1888)Philadelphia Museum of ArtPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7096,7095,oil,Antibes in the Morning,1888,"{(188, 182, 187): 257183, (90, 99, 108): 144043, (189, 155, 84): 129613, (135, 138, 163): 171478, (63, 43, 25): 85038}"
15,15,15,"Antibes Seen from the Cape, Mistral WindClaude Oscar Monet  (1888)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7104,7103,oil,"Antibes Seen from the Cape, Mistral Wind",1888,"{(110, 97, 128): 141717, (155, 160, 169): 260017, (123, 68, 22): 142240, (194, 119, 39): 133766, (40, 27, 56): 121854}"
16,16,16,"Antibes Seen from the Salis GardensClaude Oscar Monet  (1888)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7090,7089,oil,Antibes Seen from the Salis Gardens,1888,"{(186, 174, 185): 224050, (57, 59, 87): 166922, (129, 143, 188): 133115, (105, 105, 127): 139442, (25, 21, 30): 173909}"
17,17,17,"Antibes Seen from the Salis GardensClaude Oscar Monet  (1888)Toledo Museum of Art (Ohio)Painting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7092,7091,oil,Antibes Seen from the Salis Gardens,1888,"{(104, 92, 123): 161378, (170, 96, 26): 178912, (183, 165, 137): 289652, (221, 155, 54): 159251, (86, 38, 32): 97411}"
18,18,18,"Antibes - View of the Salis GardensClaude Oscar Monet  (1888)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7086,7085,oil,Antibes - View of the Salis Gardens,1888,"{(63, 56, 38): 71222, (112, 115, 131): 135034, (133, 108, 61): 157394, (169, 144, 103): 225063, (158, 156, 153): 243427}"
19,19,19,"Apple Trees in Bloom at GivernyClaude Oscar Monet  (1900-1901)Private collectionPainting - oil on canvasUploaded Tuesday, 21 January 2003 by member rocsdadPublic domain",7704,7703,oil,Apple Trees in Bloom at Giverny,1900-1901,"{(191, 184, 150): 99088, (113, 110, 69): 198386, (109, 129, 18): 182078, (58, 59, 17): 137511, (150, 142, 103): 243229}"
20,20,20,"Apple Trees in Blossom by the WaterClaude Oscar Monet  (1880)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6517,6516,oil,Apple Trees in Blossom by the Water,1880,"{(240, 208, 125): 78107, (129, 95, 34): 198703, (81, 54, 17): 245960, (184, 143, 66): 128499, (30, 16, 10): 265099}"
21,21,21,"Apple Trees near VetheuilClaude Oscar Monet  (1878)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6429,6428,oil,Apple Trees near Vetheuil,1878,"{(197, 195, 186): 187394, (160, 134, 101): 83346, (118, 95, 51): 144456, (32, 22, 10): 230513, (71, 56, 29): 212526}"
22,22,22,"Apple Trees on the Chantemesle HillClaude Oscar Monet  (1878)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6431,6430,oil,Apple Trees on the Chantemesle Hill,1878,"{(39, 42, 24): 224221, (73, 96, 114): 151840, (168, 151, 109): 128076, (100, 143, 212): 130246, (113, 96, 41): 224253}"
23,23,23,"Argenteuil, Flowers by the RiverbankClaude Oscar Monet  (1877)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6403,6402,oil,"Argenteuil, Flowers by the Riverbank",1877,"{(223, 151, 127): 116759, (30, 16, 12): 287347, (253, 227, 165): 313445, (80, 49, 37): 220809, (154, 84, 64): 117060}"
24,24,24,"Argenteuil, Late AfternoonClaude Oscar Monet  (1872)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6169,6168,oil,"Argenteuil, Late Afternoon",1872,"{(222, 175, 44): 99945, (21, 31, 8): 218290, (217, 192, 108): 289515, (186, 195, 169): 162096, (116, 101, 36): 46930}"
25,25,25,"Argenteuil Seen from the Small Arm of the SeineClaude Oscar Monet  (1872)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6177,6176,oil,Argenteuil Seen from the Small Arm of the Seine,1872,"{(159, 164, 176): 172818, (95, 93, 73): 129965, (187, 193, 203): 184870, (137, 136, 126): 117692, (52, 48, 32): 91900}"
26,26,26,"Argenteuil, Seen from the Small Arm of the SeineClaude Oscar Monet  (1872)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6147,6146,oil,"Argenteuil, Seen from the Small Arm of the Seine",1872,"{(92, 45, 10): 90472, (175, 129, 66): 209123, (207, 166, 101): 146420, (172, 165, 141): 200310, (157, 90, 23): 176090}"
27,27,27,"Argenteuil, the HospiceClaude Oscar Monet  (1872)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6187,6186,oil,"Argenteuil, the Hospice",1872,"{(106, 72, 36): 129472, (209, 199, 187): 242457, (49, 30, 10): 173917, (177, 129, 68): 117666, (181, 168, 162): 129510}"
28,28,28,"Arm of the Jeufosse, AutumnClaude Oscar Monet  (1884)Private collectionPainting - oil on canvasUploaded Wednesday, 8 August 2012 by member rocsdadPublic domain",199233,199232,oil,"Arm of the Jeufosse, Autumn",1884,"{(85, 110, 8): 13212, (203, 194, 181): 12574, (44, 49, 15): 26337, (111, 52, 5): 15204, (171, 103, 14): 7073}"
29,29,29,"Arm of the Seine at GivernyClaude Oscar Monet  (1897)MusÃƒÂ©e d'OrsayPainting - oil on canvasUploaded Monday, 20 January 2003 by member rocsdadPublic domain",7514,7513,oil,Arm of the Seine at Giverny,1897,"{(140, 161, 150): 103495, (17, 36, 41): 126246, (75, 116, 154): 131686, (38, 75, 101): 156090, (193, 198, 192): 122515}"
